kind	id	x,y,z	itemid	script
uid	9520	33593,32643,14	9825	Novos/alavanca.lua
uid	9521	33387,32457,14	9825	Novos/alavanca1.lua
uid	9522	33229,31499,13	9825	Novos/alavanca2.lua
uid	9523	33379,32308,14	9825	Novos/alavanca3.lua
uid	9524	33455,32356,13	9825	Novos/alavanca4.lua
uid	9525	33680,32740,11	9825	Novos/alavanca5.lua
uid	9526	33418,32849,11	9825	Novos/alavanca6.lua
uid	9527	33434,32784,13	9825	Novos/alavanca7.lua
uid	9528	33404,32467,13	9825	Novos/alavanca8.lua
uid	9529	32079,31312,13	9825	Novos/novo1.lua
uid	9530	32272,31373,14	9825	Novos/novo2.lua
uid	9531	32334,31283,14	9825	Novos/novo3.lua
uid	9532	32309,31247,14	9825	Novos/novo4.lua
uid	9533	32207,31283,14	9825	Novos/novo5.lua
aid	50258	32800,31959,7	2720	bkquest.lua
aid	9010	31418,31971,8	5739	daram quest.lua
aid	61221	32584,31401,8	8268	dwarven.lua
aid	42139	32680,31509,12	10035	escada.lua
aid	12441	32965,31457,2	9583	espelho.lua
aid	9118	32992,31539,1	1945	farmine/elevatorLever.lua
aid	9119	32992,31539,4	1945	farmine/elevatorLever.lua
aid	9120	32994,31547,4	1945	farmine/elevatorLever.lua
aid	9121	33062,31527,10	1945	farmine/elevatorLever.lua
aid	12141	33187,31205,6	8718	farmine/templeofequilibrium_vines.lua
aid	12142	33187,31205,7	9710	farmine/templeofequilibrium_vines.lua
uid	3152	32024,32830,4	5687	flor.lua
uid	25610	33579,31297,11	1740	gray island/jaul.lua
uid	25612	33414,31235,11	1740	gray island/obujos.lua
uid	25611	33632,31259,11	1740	gray island/tanjis.lua
uid	12025	32367,31058,7	7266	inukaya.lua
uid	12026	32409,31066,7	7266	inukaya2.lua
aid	50012	32637,31881,2	1945	kazordoon/elevatorLever.lua
aid	50011	32637,31881,7	1946	kazordoon/elevatorLever.lua
aid	50137	32553,31931,7	7131	kazordoon/oreWagons.lua
aid	50138	32601,31875,7	7132	kazordoon/oreWagons.lua
aid	50159	32604,31901,9	7131	kazordoon/oreWagons.lua
aid	50230	32615,31899,9	7132	kazordoon/oreWagons.lua
aid	50231	32617,31899,9	7132	kazordoon/oreWagons.lua
aid	50232	32619,31899,9	7132	kazordoon/oreWagons.lua
aid	50233	32621,31899,9	7132	kazordoon/oreWagons.lua
aid	50158	32604,31904,9	7131	kazordoon/oreWagons.lua
aid	50157	32604,31906,9	7131	kazordoon/oreWagons.lua
aid	50156	32604,31909,9	7131	kazordoon/oreWagons.lua
aid	50139	32577,31928,0	7131	kazordoon/oreWagons.lua
aid	50144	32624,31920,11	7132	kazordoon/oreWagons.lua
aid	50145	32627,31920,11	7132	kazordoon/oreWagons.lua
aid	50146	32629,31920,11	7132	kazordoon/oreWagons.lua
aid	50147	32632,31920,11	7132	kazordoon/oreWagons.lua
aid	50152	32653,31901,8	7132	kazordoon/oreWagons.lua
aid	50153	32656,31901,8	7132	kazordoon/oreWagons.lua
aid	50154	32658,31901,8	7132	kazordoon/oreWagons.lua
aid	50155	32661,31901,8	7132	kazordoon/oreWagons.lua
aid	50143	32574,31969,9	7131	kazordoon/oreWagons.lua
aid	50142	32574,31972,9	7131	kazordoon/oreWagons.lua
aid	50141	32574,31975,9	7131	kazordoon/oreWagons.lua
aid	50140	32574,31978,9	7131	kazordoon/oreWagons.lua
aid	50136	32618,31944,7	7132	kazordoon/oreWagons.lua
aid	50148	32672,31974,15	7132	kazordoon/oreWagons.lua
aid	50149	32675,31974,15	7132	kazordoon/oreWagons.lua
aid	50150	32677,31974,15	7132	kazordoon/oreWagons.lua
aid	50151	32680,31974,15	7132	kazordoon/oreWagons.lua
aid	50237	32604,31908,3	1945	kazordoon/stone.lua
aid	50238	32603,31901,4	1945	kazordoon/trapdoor.lua
aid	19079	33657,31657,7	25406	krailos.lua
aid	41345	33119,32247,9	24314	lionrock.lua
aid	41356	33146,32341,8	2843	lionrock.lua
aid	41355	33137,32351,6	23765	lionrock.lua
